seq,ts_ms,utc_ts,state,temp1,press1,hum,alt_baro,temp2,press2,lat,lon,alt_gps,speed_ms,heading,gps_sats,gps_fix,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gas_res,m4_err,m7_err
1,14711,0,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
2,19979,0,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
3,21886,0,PAD,14.32,956.55,31.03,495.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
4,22886,0,PAD,14.33,956.57,31.03,495.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
5,23886,0,PAD,14.35,956.63,31.02,495.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
6,24886,0,PAD,14.37,956.69,31.02,494.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
7,26696,0,PAD,14.39,956.74,31.01,494.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
8,27696,0,PAD,14.40,956.82,31.02,493.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
9,28696,0,PAD,14.40,956.82,31.00,493.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
10,29696,0,PAD,14.41,956.84,31.00,493.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
11,31264,0,PAD,14.41,956.86,30.98,493.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
12,32307,0,PAD,14.41,956.88,30.98,492.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
13,33307,0,PAD,14.41,956.88,30.98,492.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
14,34307,0,PAD,14.41,956.84,30.98,493.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
15,37045,0,PAD,14.41,956.82,30.97,493.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
16,38094,0,PAD,14.41,956.82,30.97,493.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
17,39094,0,PAD,14.40,956.82,30.96,493.4,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
18,40094,0,PAD,14.40,956.80,30.97,493.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
19,42073,0,PAD,14.39,956.80,30.97,493.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
20,43073,0,PAD,14.39,956.76,30.96,493.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0.0,0,0
