seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,33340,0,--:--:--,PAD,0.00,0.00,0.00,0.0,24.39,1013.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
2,34340,0,--:--:--,PAD,0.00,0.00,0.00,0.0,24.39,1013.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
3,35340,0,--:--:--,PAD,0.00,0.00,0.00,0.0,24.39,1013.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
4,37153,0,--:--:--,PAD,21.31,1012.60,32.37,19.9,24.39,1013.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
1,33138,0,--:--:--,PAD,0.00,0.00,0.00,0.0,17.78,1010.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
2,34139,0,--:--:--,PAD,0.00,0.00,0.00,0.0,17.78,1010.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
4,36322,0,--:--:--,PAD,0.00,0.00,0.00,0.0,17.78,1010.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
5,37326,0,--:--:--,PAD,0.00,0.00,0.00,0.0,17.78,1010.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
7,39886,0,--:--:--,PAD,14.06,1012.68,40.59,19.2,17.78,1010.81,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
8,40886,0,--:--:--,PAD,14.01,1012.68,40.74,19.2,17.78,1010.78,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
9,41886,0,--:--:--,PAD,13.95,1012.68,40.90,19.2,17.78,1010.07,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
10,43799,0,--:--:--,PAD,13.68,1012.68,41.17,19.2,17.78,1010.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
11,44799,0,--:--:--,PAD,13.68,1012.68,41.17,19.2,17.78,1009.95,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
12,45799,0,--:--:--,PAD,13.55,1012.68,41.33,19.2,17.78,1009.87,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
14,48633,0,--:--:--,PAD,13.25,1012.66,41.76,19.4,17.78,1009.89,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
15,50252,0,--:--:--,PAD,13.12,1012.66,41.99,19.4,17.78,1009.86,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
16,51258,0,--:--:--,PAD,13.00,1012.68,42.24,19.2,17.78,1009.86,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
17,52258,0,--:--:--,PAD,12.86,1012.68,42.44,19.2,17.78,1009.71,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
18,53258,0,--:--:--,PAD,12.86,1012.68,42.44,19.2,17.78,1009.68,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
19,54258,0,--:--:--,PAD,12.72,1012.68,42.71,19.2,17.78,1009.67,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
20,55258,0,--:--:--,DESCENT,12.60,1012.70,42.94,19.1,17.78,1009.61,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
21,57052,0,--:--:--,DESCENT,12.46,1012.68,43.18,19.2,17.78,1009.60,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
22,58052,0,--:--:--,DESCENT,12.34,1012.70,43.44,19.1,17.78,1009.61,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
23,59052,0,--:--:--,DESCENT,12.22,1012.68,43.65,19.2,17.78,1009.59,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
24,61029,0,--:--:--,DESCENT,12.08,1012.68,43.91,19.2,17.78,1009.57,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,1
