seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok,alt_baro_corrected_m,alt_above_ground_baro_m,alt_above_ground_gps_m,gps_baro_diff_m,elapsed_s,p0_used_hPa,gps_ground_ref_m,gps_valid
24,48112,0,--:--:--,PAD,10.68,943.86,31.13,606.6,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,82.64,32.44,,,0.00,953.16,50.2,0
25,49112,0,--:--:--,PAD,10.70,943.91,31.14,606.2,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,82.19,31.99,,,1.00,953.16,50.2,0
26,50112,0,--:--:--,PAD,10.71,943.93,31.14,606.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,82.01,31.81,,,2.00,953.16,50.2,0
27,51658,0,--:--:--,PAD,10.72,944.03,31.13,605.1,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,81.12,30.92,,,3.55,953.16,50.2,0
28,52658,0,--:--:--,PAD,10.74,944.07,31.13,604.8,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,80.76,30.56,,,4.55,953.16,50.2,0
29,53660,0,--:--:--,PAD,10.75,944.13,31.14,604.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,80.23,30.03,,,5.55,953.16,50.2,0
30,54663,0,--:--:--,PAD,10.77,944.17,31.14,603.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,79.87,29.67,,,6.55,953.16,50.2,0
31,57533,0,--:--:--,PAD,10.79,944.27,31.15,603.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,78.98,28.78,,,9.42,953.16,50.2,0
32,58535,0,--:--:--,PAD,10.81,944.31,31.15,602.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,78.62,28.42,,,10.42,953.16,50.2,0
33,59535,0,--:--:--,PAD,10.82,944.35,31.15,602.3,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0,78.27,28.07,,,11.42,953.16,50.2,0
