seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors
391,677084,0,--:--:--,PAD,9.77,1014.84,53.34,1.3,0.00,0.00,59.896603,10.522906,10.5,0.00,312.3,10,1,0,4
393,679895,0,--:--:--,PAD,9.74,1014.84,53.30,1.3,0.00,0.00,59.896603,10.522906,10.5,0.00,312.3,10,1,0,4
394,681245,0,--:--:--,PAD,9.73,1014.82,53.36,1.5,0.00,0.00,59.896603,10.522906,10.5,0.00,312.3,10,1,0,4
398,688073,0,--:--:--,PAD,9.67,1014.84,53.45,1.3,0.00,0.00,59.896603,10.522907,10.6,0.00,312.3,10,1,0,4
1,44740,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
2,45907,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0
6,52849,0,--:--:--,PAD,9.31,1014.86,55.71,1.2,0.00,0.00,59.896576,10.522863,-9.0,0.10,0.0,6,1,0,0
8,55470,0,--:--:--,PAD,9.25,1014.82,55.52,1.5,0.00,0.00,59.896580,10.522861,-9.0,0.10,0.0,6,1,0,0
10,57958,0,--:--:--,PAD,9.17,1014.82,55.40,1.5,0.00,0.00,59.896580,10.522865,-8.9,0.10,0.0,8,1,0,0
11,58959,0,--:--:--,PAD,9.15,1014.82,55.40,1.5,0.00,0.00,59.896580,10.522922,-7.8,0.48,0.0,8,1,0,0
12,60602,0,--:--:--,PAD,9.14,1014.84,55.37,1.3,0.00,0.00,59.896572,10.522927,-6.9,0.08,0.0,8,1,0,0
13,61724,0,--:--:--,PAD,9.14,1014.82,55.39,1.5,0.00,0.00,59.896572,10.522927,-6.9,0.00,0.0,8,1,0,0
14,62798,0,--:--:--,PAD,9.15,1014.82,55.39,1.5,0.00,0.00,59.896572,10.522928,-6.0,0.00,0.0,8,1,0,0
17,74481,0,--:--:--,PAD,9.11,1014.80,55.35,1.7,0.00,0.00,59.896572,10.522928,-5.7,0.00,0.0,8,1,0,0
19,77006,0,--:--:--,PAD,9.12,1014.80,55.37,1.7,0.00,0.00,59.896568,10.522921,-3.0,0.00,0.0,9,1,0,0
21,86876,0,--:--:--,PAD,9.33,1014.82,55.37,1.5,0.00,0.00,59.896568,10.522920,-2.5,0.00,0.0,9,1,0,0
22,87876,0,--:--:--,PAD,9.35,1014.82,55.38,1.5,0.00,0.00,59.896568,10.522912,-0.9,0.00,0.0,9,1,0,0
23,88876,0,--:--:--,PAD,9.36,1014.84,55.29,1.3,0.00,0.00,59.896568,10.522912,-0.8,0.00,0.0,9,1,0,0
24,90544,0,--:--:--,PAD,9.38,1014.82,55.28,1.5,0.00,0.00,59.896568,10.522912,-0.7,0.00,0.0,9,1,0,0
26,96299,0,--:--:--,PAD,9.39,1014.82,55.14,1.5,0.00,0.00,59.896572,10.522909,-0.7,0.00,0.0,9,1,0,0
27,97299,0,--:--:--,PAD,9.38,1014.84,55.21,1.3,0.00,0.00,59.896572,10.522909,-0.8,0.00,0.0,9,1,0,0
28,100269,0,--:--:--,PAD,9.36,1014.82,55.06,1.5,0.00,0.00,59.896572,10.522909,-0.8,0.00,0.0,9,1,0,0
30,103136,0,--:--:--,PAD,9.35,1014.82,55.10,1.5,0.00,0.00,59.896576,10.522908,-0.6,0.00,0.0,9,1,0,0
31,104136,0,--:--:--,PAD,9.35,1014.82,55.10,1.5,0.00,0.00,59.896576,10.522908,-0.6,0.00,0.0,9,1,0,0
32,105199,0,--:--:--,PAD,9.36,1014.82,55.07,1.5,0.00,0.00,59.896576,10.522907,-0.5,0.00,0.0,9,1,0,0
33,106934,0,--:--:--,PAD,9.38,1014.80,55.12,1.7,0.00,0.00,59.896580,10.522907,-0.4,0.00,0.0,9,1,0,0
35,109843,0,--:--:--,PAD,9.40,1014.82,55.07,1.5,0.00,0.00,59.896580,10.522906,-0.1,0.00,0.0,9,1,0,0
36,110843,0,--:--:--,PAD,9.41,1014.82,55.05,1.5,0.00,0.00,59.896580,10.522906,0.0,0.00,0.0,9,1,0,0
39,117544,0,--:--:--,PAD,9.39,1014.82,55.03,1.5,0.00,0.00,59.896584,10.522904,0.5,0.00,0.0,9,1,0,0
43,124409,0,--:--:--,PAD,9.38,1014.82,55.01,1.5,0.00,0.00,59.896584,10.522902,1.3,0.00,0.0,9,1,0,0
44,125483,0,--:--:--,PAD,9.36,1014.82,55.07,1.5,0.00,0.00,59.896584,10.522902,1.0,0.00,0.0,9,1,0,0
45,126524,0,--:--:--,PAD,9.33,1014.84,55.00,1.3,0.00,0.00,59.896584,10.522902,1.7,0.00,0.0,9,1,0,0
46,128711,0,--:--:--,PAD,9.25,1014.84,54.99,1.3,0.00,0.00,59.896584,10.522902,1.7,0.00,0.0,9,0,0,0
49,135180,0,--:--:--,PAD,9.07,1014.86,55.07,1.2,0.00,0.00,59.896584,10.522902,2.2,0.00,0.0,9,0,0,0
51,138304,0,--:--:--,PAD,8.99,1014.88,55.24,1.0,0.00,0.00,59.896587,10.522901,2.7,0.00,0.0,9,1,0,0
53,140707,0,--:--:--,PAD,8.94,1014.84,55.33,1.3,0.00,0.00,59.896587,10.522901,2.9,0.00,0.0,9,1,0,0
54,144967,0,--:--:--,PAD,8.94,1014.84,55.56,1.3,0.00,0.00,59.896587,10.522901,2.9,0.00,0.0,9,1,0,0
55,146478,0,--:--:--,PAD,8.94,1014.84,55.56,1.3,0.00,0.00,59.896587,10.522901,3.0,0.00,0.0,9,1,0,0
56,147566,0,--:--:--,PAD,8.95,1014.82,55.66,1.5,0.00,0.00,59.896587,10.522901,3.3,0.00,0.0,9,1,0,0
