seq,ts_ms,utc_ts,utc_time,state,temp1_C,press1_hPa,hum_pct,alt_baro_m,temp2_C,press2_hPa,lat,lon,alt_gps_m,speed_ms,heading_deg,gps_sats,gps_fix,m4_errors,m7_errors,nicla_ble_ok
1,14259,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
2,20617,0,--:--:--,PAD,0.00,0.00,0.00,0.0,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
3,21617,0,--:--:--,PAD,24.31,978.49,29.01,306.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
4,22617,0,--:--:--,PAD,24.32,978.51,28.94,306.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
5,23617,0,--:--:--,PAD,24.34,978.49,28.90,306.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
6,24688,0,--:--:--,PAD,24.34,978.53,28.88,306.5,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
7,25688,0,--:--:--,PAD,24.36,978.51,28.83,306.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
8,26689,0,--:--:--,PAD,24.37,978.51,28.77,306.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
9,27689,0,--:--:--,PAD,24.38,978.49,28.72,306.9,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
10,28689,0,--:--:--,PAD,24.38,978.51,28.68,306.7,0.00,0.00,0.000000,0.000000,0.0,0.00,0.0,0,0,0,0,0
